ID	forum	title
3	https://openreview.net/forum?id=7Q7Bq70E6E	From Fisher--Rao Simplex Flows to Canonical Jump Generators: A $\Gamma$-Convergence Theory of Discrete Flow Matching
6	https://openreview.net/forum?id=6Re88zQFpQ	A Generative Model for Extremely Sparse Edge-Exchangeable Networks
7	https://openreview.net/forum?id=MjrFbCMmlx	Flow Matching for Reaction Pathway Generation
8	https://openreview.net/forum?id=1aBSOYespo	Neuro-Symbolic ODE Discovery with Latent Grammar Flow
9	https://openreview.net/forum?id=1usSpb3q2n	DVD: Discrete Voxel Diffusion for 3D Generation and Editing
10	https://openreview.net/forum?id=jrGzOIES9o	The Model Knows, the Decoder Finds: Future Value Guided Particle Power Sampling
11	https://openreview.net/forum?id=CRL9foL0BM	$\psi$DAG: Projected Stochastic Approximation Iteration for Linear DAG Structure Learning
12	https://openreview.net/forum?id=wzDKuOe1sw	Systematic Study of Grid Adaptation Strategies in Kolmogorov–Arnold Networks
13	https://openreview.net/forum?id=ABfCAaN53f	Topological Control of Optimization Dynamics on Evolving Manifolds
16	https://openreview.net/forum?id=M3BAEZGcnu	STARS: Synchronous Token Alignment for Robust Supervision in Large Language Models
17	https://openreview.net/forum?id=udpnTPyA21	Context Over Content: Exposing Evaluation Faking in Automated Judges
18	https://openreview.net/forum?id=FbDuesI6tD	Diagnosing LLM Judge Reliability: Conformal Prediction Sets and Transitivity Violations
20	https://openreview.net/forum?id=UEaUKiPxam	CFG-OEC: Classifier Free Guidance with Orthogonal Error Correction
21	https://openreview.net/forum?id=Wb5OLKABOT	Probabilistic Chain-of-Thought: Sequential Bayesian Inference over Latent Reasoning Correctness
22	https://openreview.net/forum?id=BEYyxUDMU0	A Tale of Two Temperatures:  Simple, Efficient, and Diverse Sampling from Diffusion Language Models
23	https://openreview.net/forum?id=Zy6fDc70o6	Branching Diffusion for Point Processes in Time and Space
24	https://openreview.net/forum?id=x65JsWUlig	Inverting Foundation Models of Brain Function with Simulation-Based Inference
25	https://openreview.net/forum?id=yosOiEpaa3	Rao-Blackwellized Score Matching on Manifolds
26	https://openreview.net/forum?id=7dkPGrmEMN	Direct Flow Neural Processes: Efficient Sampling via Flow Step Amortization
27	https://openreview.net/forum?id=b3M22Zalih	TAPS: Task Aware Proposal Distributions for Speculative Sampling
28	https://openreview.net/forum?id=YvJzmqXrJZ	U-Former ODE: Fast Probabilistic Forecasting of Irregular Time Series
30	https://openreview.net/forum?id=MPwqSrnwmU	DLLM-JEPA: Joint Embedding Predictive Architectures for Masked Diffusion Language Models
31	https://openreview.net/forum?id=GuBD41eKHB	Signal from Structure: Exploiting Submodular Upper Bounds in Generative Flow Networks
